"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
1,48,2,1,1,1,1,4,2,2,2,1,2,4,4,1,2020,1,1,2
2,41,2,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,55,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,55,4,1,1,2,1,4,2,2,2,1,2,0,4,1,2020,2,2,2
2,60,4,7,1,2,2,4,2,2,1,2,2,0,0,1,2020,2,2,2
2,48,2,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,2,1,1
1,67,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,40,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,43,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,68,2,8,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
1,46,2,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,52,4,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,51,2,1,1,1,1,3,2,2,2,1,1,4,3,1,2020,2,1,2
1,71,2,8,1,2,2,4,2,2,1,2,2,0,0,1,2020,2,2,2
2,54,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,24,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,31,3,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,57,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,28,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,32,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,38,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,42,4,1,1,1,1,4,2,1,2,1,2,4,4,1,2020,1,2,2
2,70,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,46,3,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,46,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,19,3,6,1,2,1,4,2,1,2,2,1,0,4,1,2020,2,2,2
2,41,3,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,22,4,1,1,2,1,2,2,1,2,2,1,0,2,1,2020,2,2,2
1,30,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,50,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,67,4,8,1,2,1,4,2,2,1,2,1,0,4,1,2020,2,2,2
2,18,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,52,2,1,1,1,2,4,1,2,2,2,2,4,0,1,2020,1,1,1
2,42,3,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,39,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,36,2,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,20,2,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,2,1,1
1,47,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,35,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,46,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,18,3,6,1,2,1,2,2,1,2,1,2,0,4,1,2020,2,2,2
1,44,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,35,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,24,2,7,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,38,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,19,3,6,1,2,1,4,2,2,2,2,1,0,2,1,2020,2,2,2
2,39,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,49,2,1,1,2,1,3,2,2,2,2,1,0,5,1,2020,2,2,2
2,28,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,40,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,43,2,1,2,1,1,0,0,0,0,0,0,4,3,1,2020,2,2,1
2,43,2,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,91,4,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,31,4,1,2,1,1,0,0,0,0,0,0,1,1,1,2020,1,2,2
1,34,3,4,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,42,2,1,2,1,1,0,0,0,0,0,0,5,3,1,2020,2,2,1
2,44,5,1,1,2,1,4,2,2,2,1,2,0,3,1,2020,2,2,2
2,37,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,36,2,1,1,2,2,1,1,2,2,2,2,0,0,1,2020,2,2,2
2,52,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,57,4,1,2,1,1,0,0,0,0,0,0,1,3,1,2020,1,2,2
2,61,4,7,1,2,1,4,2,1,1,2,2,0,3,1,2020,2,2,2
1,40,3,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,49,1,1,2,2,1,0,0,0,0,0,0,0,4,2,2020,2,2,2
2,33,2,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,72,5,8,1,1,1,3,2,1,1,1,2,3,3,1,2020,1,1,2
2,68,3,7,1,1,2,3,2,2,2,2,1,4,0,1,2020,2,2,1
1,63,4,8,1,2,1,3,2,2,2,2,1,0,3,1,2020,2,2,2
2,37,3,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,78,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,59,3,3,1,1,1,4,2,2,2,2,1,4,3,1,2020,1,1,1
1,64,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,21,4,6,1,2,1,2,1,1,2,2,2,0,2,1,2020,2,2,2
1,23,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,30,3,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,66,1,1,2,1,2,0,0,0,0,0,0,5,0,1,2020,2,2,1
2,40,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,60,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,74,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,66,4,8,1,1,1,4,2,2,1,1,1,3,3,1,2020,1,1,2
2,44,3,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,1,2
2,65,3,8,1,1,2,4,2,2,2,1,2,4,0,1,2020,2,1,1
1,46,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,56,4,1,1,1,2,3,2,2,2,1,2,1,0,1,2020,1,2,2
2,30,3,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,39,5,1,1,1,1,2,2,1,2,2,2,1,4,1,2020,1,2,2
1,50,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,31,4,1,1,1,1,3,2,1,2,2,2,1,3,1,2020,1,1,2
2,65,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,41,3,4,1,2,1,4,2,2,2,1,2,0,3,1,2020,2,2,2
2,47,2,1,1,2,1,1,2,1,2,2,2,0,3,1,2020,2,2,2
2,28,2,1,2,1,2,0,0,0,0,0,0,5,0,1,2020,2,2,1
1,72,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,74,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,25,2,7,2,1,2,0,0,0,0,0,0,4,0,1,2020,1,1,2
2,64,5,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,71,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2020,2,2,2
2,50,3,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,28,4,1,2,1,1,0,0,0,0,0,0,1,3,1,2020,1,2,2
1,32,4,1,2,2,1,0,0,0,0,0,0,0,1,1,2020,2,2,2
2,66,4,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,73,2,8,2,1,2,0,0,0,0,0,0,5,0,1,2020,2,2,1
1,80,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,27,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,32,2,1,1,2,1,3,2,2,2,1,2,0,4,1,2020,2,2,2
